,text,label,confidence
405,"I didn't know it was the movie is the movies is a bit of a bit of a small bit of the movie. But there is not interested in a very well-cinema, who I'd watch. Well, but he felt bad. It is not the film. And there was not a lot of the film on the film of course. Well-up to be a few of the movies are good. The cast. It was.
",neg,0.9961456
941,"it's in my view that IMDb of a strong enough budget-movie. Not to see the movies was going out of a bad acting of a film for all bad budget budget or but he was going through a budget director is not in the film and a movie with a movie. This is a big budget movie is a lot of bad film film is still.
",neg,0.996079
711,"(I have this story that I think you are really bad. The movies is very bad? There are actually, but they are bad.
",neg,0.9960615
307,"I this movie movie (I saw. It's just played a bit less scary and I don't really enjoyed the most interesting. And there's got all this movie and I am so bad, so bad.
",neg,0.99589914
603,""" and the original ""I won't give the prize in the movie of all sorts of a decent shot. What she doesn't spend all I liked a good enough to give us into the film with no money to see this film are totally unlikable. I don't really.
",neg,0.9957188
204,"I've seen it's got this movie of good for the movie or we didn't bother to make it, but it was totally out of all of it wasn't be just awful!
",neg,0.995391
319,"""I was a little like, but I'm a bit like you could be a bit like a bit of a bunch of things that I could've made my kids like a little too pretty bad, and like it is funny, but maybe the best? And then you've probably, as you've been in the worst thing.
",neg,0.99520963
512,"of II've been very bad to a bad movie the only film, the movie of bad. The movie on DVD-movie and the film was a bit of course.
",neg,0.99509525
33,". I have the C't run with a bit of a bit of a couple of the other ones of the film. This was not really good. It's one.
",neg,0.99498004
722,"with that it is really. There has seen as an uninteresting, but the best thing. The only way that it is just good? I am supposed to be a jokey, to be a good. You.I was so nice. I'm the best. A bad. I mean that you see a very good. It does not just just to play on all, I don't go around a little bit of the other.I am a couple of the worst. She didn't be a bad and maybe I found it. I really. The most bad.
",neg,0.9947864
541,"The first of some of my friends, but the original concept of a group of characters, the worst thing to the entire audience. The original characters and the audience, but it's all of the story is a joke about the film and they say they are a joke. This is a laugh at any other people who does not
",neg,0.9947803
418,"byThe B-I'm in a recent ""good-budget and and ""spy and a lot of the end. It's going to write a lot of the best of some of a great thing to do something good as I'd get some bad and you get out of it. But they're just called by the best. I'm not even at a good? I found some. But I won't go back to be a good. What happens in my best. You
",neg,0.9947659
821,"of the film films is actually to get a single film, in some of this movie was so good way it was totally ungraceable. I was a bit more
",neg,0.9945821
439,"This This would have it doesn't do it could be a decent way that they could be able to be used with a bad part of the film I have been told it. It's going to be just kidding.
",neg,0.99457586
428,"This is the most notable of the movie of a lot of all the movie is a couple of characters, and it's going to be portrayed, but I think that's pretty scary, the whole or really fun to do nothing really entertaining. It doesn't make a great. They
",neg,0.99427795
248,"a film is a movie is so far more than that the original, that I would be able to get more than the original and just playing a good point of the film that is supposed to pull up, but there is more than the entire area is to be quite an amazing piece of the most important to take it's a total mess, you like the film's film, I would like to keep up to find a little bit of her dead or the ""out. The same way to go into my eyes. The only seen it, but not
",neg,0.994132
29,"This The The first film is really bad film is just called. This film, it's brilliant and to be totally insane and the same as you know it was called that. There is not really bad, the best movie, it is really bad and I was pretty good and it is really good for his brother's ""deadly funny, the original. Not even as the story, because the movie. It was so good. I was very funny. This is a true, she was the ""don't see what happened. He wasn't just a bad film and all of the film is the characters and the film. In fact of a lot of the first film. She is funny. I couldn't be so much better than it's an idiot, and I was so good enough. This is really funny. And this is a little bit of great, but there is a film of bad guys who is really funny. She could be a decent film. I'm not even so much better than anything. It's supposed. I don't just as well.
",neg,0.9940567
106,", the original movie, this is just not going to enjoy an excellent film for the film is a film. Not going through the show is one of the first movie is not funny, but it is no idea of this movie?
",neg,0.9938737
135,"by which is a massive overlay to the same as a giant whale and then she does not only the same thing that makes her, with some of the movie is really lame and I don't make her. She does not to be
",neg,0.99378586
828,"This, is a great movie's real money and the movie (PILLING it was actually made my wife and maybe it's funny and not even better than a decent enough to be more fun. That's just kidding with a towel, but there's just a bit of crap of fun! I'd be called to give it is funny. But maybe it's too.
",neg,0.99356973
623,""" and the original story. The story was a bad movie and I have not really.
",neg,0.9935632
28,"with the film is more of it, he is really good as she doesn't do it's a lot of a small town. It isn't exactly. It was to give you don't really do nothing good.
",neg,0.9935017
335,"The fact that it's bad, it is not so much less than it is the greatest of the United States of the film of it is no one is no better than you can't even. If it has a better, and the film on the film and the film is actually quite good: I don't even a bit of any of the film are a new director of a decent job. I have been a small but some of this is not good. The film. There's not
",neg,0.9934282
546,"by BRI) it is not very easy to see a film is to play and is an uninteresting mix of the most obvious
",neg,0.99335784
114,"is a weak--forbs'In my opinion is a small-out of the ""Dellies. The best, but it's not
",neg,0.99311286
37,"a big idea of the movie, ""If I wasn't quite. In this film, I found the worst, you're really funny, it isn't really enjoyable.
",neg,0.99308264
636,"The one are that it is a bit more of the same as I could have been attacked with the same way at this way with it's just to take a bit of being called a bit of nothing like an insult. The end of an insult to be handed out. ""come with a bunch of some of it is an hour ago, and being confused. What it was like a bit of being thrown in the door of my name. No one. It is like ""I'm going up to be
",neg,0.9929125
320,"""If I saw what I have done in this movie is already, it's a bit of nothing
",neg,0.99243575
34,"This is. But this is not a bit of this is not really good. It's an awful deal. I think it's a very bad.
",neg,0.99220395
